Year,E,MAT,TATM,YGROSS,DAMAGES,DAMFRAC,CPC,FORC,FORCOTH,UTILITY
2015,38.34038462,851,0.85,105.177422,0.17249886,0.001640075,10.48667789,2.463395501,0.5,4520.557774
2020,35.58949904,891.3318503,1.016341648,125.4303057,0.29410864,0.002344797,11.82577907,2.73873109,0.529411765,
2025,37.37457785,925.284692,1.184456622,147.9066674,0.471033646,0.003184668,13.2849141,2.966692533,0.558823529,
2030,38.84009381,960.310156,1.354027053,172.7054964,0.718764633,0.004161794,14.86878193,3.193433435,0.588235294,
2035,39.94437119,996.0918652,1.524592941,199.8865127,1.054671371,0.005276351,16.58196687,3.417138201,0.617647059,
2040,40.65409919,1032.269441,1.695573444,229.507261,1.49780577,0.00652618,18.42886369,3.636022363,0.647058824,
2045,40.94363973,1068.452855,1.866293008,261.623756,2.068534133,0.007906523,20.41363044,3.848408215,0.676470588,
2050,40.79429303,1104.23355,2.036007965,296.2909121,2.788066534,0.009409896,22.54016331,4.05276305,0.705882353,
2055,40.1935671,1139.193124,2.20393098,333.5627918,3.677895932,0.011026098,24.81208956,4.24771184,0.735294118,
2060,39.13448048,1172.910138,2.369251946,373.4927031,4.759161807,0.012742315,27.23277648,4.432033236,0.764705882,
2065,37.61491384,1204.965513,2.531154765,416.1331668,6.051953598,0.01454331,29.80535515,4.60464525,0.794117647,
2070,35.63701611,1234.946816,2.688829935,461.5357605,7.574568243,0.016411661,32.53275982,4.764585078,0.823529412,
2075,33.20666262,1262.451705,2.84148321,509.7508196,9.342733877,0.018328041,35.41778615,4.910985927,0.852941177,
2080,30.33295517,1287.090688,2.988340696,560.8269273,11.36880803,0.020271509,38.46317692,5.043052624,0.882352941,
2085,27.0277452,1308.489344,3.128650816,614.8100382,13.66095299,0.022219795,41.67175306,5.16003687,0.911764706,
2090,23.30514856,1326.290046,3.261683535,671.7419058,16.22228182,0.024149575,45.04662723,5.261212401,0.941176471,
2095,19.18099961,1340.153223,3.386727152,731.6571513,19.04995254,0.02603672,48.59157359,5.345849717,0.970588235,
2100,14.67215795,1349.758075,3.503082842,794.5776555,22.13415877,0.027856508,52.31170035,5.413189517,1,
2105,9.794376678,1354.802582,3.607101066,860.5016661,25.41523879,0.029535374,56.21570419,5.433001512,1,
2110,4.564484339,1355.000856,3.698461411,929.4015536,28.85834591,0.03105046,60.31653377,5.433778712,1,
2115,0.225859708,1350.084014,3.776776082,1001.16954,32.41723426,0.032379365,64.63561049,5.414471856,1,
2120,0.199885841,1341.472454,3.842247303,1075.802728,36.05198047,0.033511702,69.19412396,5.38048699,1,
2125,0.17689897,1335.045235,3.897375529,1153.917905,39.78737409,0.034480247,73.9808768,5.354979981,1,
2130,0.156555588,1330.101756,3.944069138,1235.435513,43.62495352,0.035311397,78.9876766,5.335277641,1,
2135,0.138551696,1326.166241,3.983804706,1320.307383,47.56603921,0.036026489,84.20758964,5.319540143,1,
2140,0.122618251,1322.915671,4.017740998,1408.513014,51.61198882,0.036642891,89.63331082,5.30650637,1,
2145,0.108517152,1320.130796,4.046800198,1500.065776,55.76474042,0.037174864,95.25514922,5.295314394,1,
2150,0.096037679,1317.662861,4.071726077,1595.033385,60.02784348,0.037634224,101.057903,5.285376398,1,
2155,0.084993346,1315.410985,4.093125949,1693.582294,64.4083804,0.038030854,107.0154141,5.276292186,1,
2160,-16.01614462,1313.306801,4.111501231,1796.064466,68.92053297,0.038373084,113.2079076,5.267789705,1,
2165,-15.86744299,1289.357252,4.118261113,1899.342954,73.12350588,0.038499369,119.6445496,5.170044102,1,
2170,-15.70390127,1268.326002,4.115929885,2005.943737,77.14016096,0.038455795,126.3147045,5.082699944,1,
2175,-15.52598885,1249.352805,4.106393783,2115.754129,80.98642753,0.038277807,133.2091954,5.002651269,1,
2180,-15.33440597,1231.85629,4.091079458,2228.669671,84.6734761,0.037992834,140.3198349,4.92774794,1,
2185,-15.1300021,1215.444156,4.071081053,2344.59076,88.20889958,0.037622301,147.6390884,4.856513497,1,
2190,-14.91371865,1199.852187,4.047250481,2463.420273,91.5976929,0.037183137,155.1598294,4.787942208,1,
2195,-14.68654845,1184.902851,4.020261592,2585.061881,94.84303142,0.036688882,162.875162,4.721355192,1,
2200,-14.44950683,1170.47719,3.990655898,2709.418869,97.94687204,0.036150509,170.7782931,4.656299405,1,
2205,-14.203611,1156.495739,3.95887531,2836.393337,100.9104076,0.035577015,178.8624419,4.59247719,1,
2210,-13.94986531,1142.905592,3.925285739,2965.885679,103.7344042,0.034975861,187.1207786,4.529697354,1,
2215,-13.6892508,1129.671621,3.890194228,3097.794291,106.4194482,0.034353297,195.5463835,4.467841303,1,
2220,-13.42271774,1116.770533,3.853861532,3232.015435,108.9661223,0.033714605,204.1322242,4.40683965,1,
2225,-13.15118051,1104.186849,3.816511437,3368.443237,111.3751307,0.033064274,212.8711435,4.346656075,1,
2230,-12.87551402,1091.910183,3.778337763,3506.96977,113.6473824,0.032406148,221.7558581,4.287276211,1,
2235,-12.5965514,1079.933411,3.739509687,3647.485219,115.7840464,0.031743527,230.7789633,4.228699986,1,
2240,-12.31508256,1068.251444,3.700175847,3789.878083,117.7865834,0.031079254,239.9329429,4.170936373,1,
2245,-12.03185349,1056.860402,3.660467553,3934.035424,119.656762,0.030415782,249.2101829,4.113999768,1,
2250,-11.74756595,1045.757071,3.62050133,4079.84313,121.3966618,0.029755228,258.6029876,4.057907526,1,
2255,-11.46287774,1034.938544,3.580380963,4227.186198,123.0086674,0.02909942,268.1035973,4.002678266,1,
2260,-11.17840316,1024.401993,3.54019916,4375.949023,124.4954561,0.028449933,277.7042072,3.948330731,1,
2265,-10.89471372,1014.14452,3.50003892,4526.015685,125.8599802,0.027808118,287.3969863,3.894883012,1,
2270,-10.61233917,1004.163073,3.459974673,4677.270237,127.1054462,0.027175134,297.1740967,3.84235204,1,
2275,-10.33176854,994.4543961,3.420073238,4829.596987,128.2352909,0.026551965,307.0277131,3.79075325,1,
2280,-10.05345138,985.0150087,3.380394634,4982.880764,129.253157,0.025939444,316.9500411,3.74010038,1,
2285,-9.777799174,975.8411977,3.340992774,5137.007189,130.1628662,0.025338268,326.9333355,3.69040535,1,
2290,-9.505186657,966.9290243,3.301916064,5291.862914,130.9683936,0.024749015,336.9699174,3.641678204,1,
2295,-9.235953367,958.2743365,3.263207921,5447.335862,131.6738406,0.024172154,347.0521908,3.593927094,1,
2300,-8.970405142,949.8727856,3.224907221,5603.315451,132.2834093,0.02360806,357.1726584,3.547158301,1,
2305,-8.708815679,941.7198459,3.187048704,5759.692797,132.801377,0.023057024,367.3239361,3.501376271,1,
2310,-8.451428105,933.8108347,3.149663316,5916.360909,133.2320716,0.02251926,377.4987656,3.456583664,1,
2315,-8.198456555,926.1409331,3.112778527,6073.21487,133.5798488,0.021994916,387.6900303,3.412781425,1,
2320,-7.950087733,918.7052069,3.076418601,6230.151988,133.8490693,0.021484078,397.8907637,3.369968851,1,
2325,-7.706482474,911.4986255,3.040604852,6387.071943,134.0440786,0.020986781,408.0941503,3.32814367,1,
2330,-7.467777354,904.516082,3.005355867,6543.87699,134.1691886,0.020503012,418.2935716,3.287302124,1,
2335,-7.23408602,897.7524105,2.970687707,6700.471922,134.2286576,0.020032717,428.4825607,3.247439049,1,
2340,-7.005500857,891.202403,2.936614093,6856.764332,134.2266766,0.019575804,438.6548521,3.208547959,1,
2345,-6.782094326,884.8608256,2.90314658,7012.664624,134.1673539,0.01913215,448.8043707,3.170621136,1,
2350,-6.56392038,878.7224331,2.87029471,7168.086108,134.0547021,0.018701603,458.9252408,3.133649711,1,
2355,-6.351015811,872.7819823,2.838066155,7322.945061,133.8926269,0.018283986,469.0117908,3.09762375,1,
2360,-6.143401547,867.0342444,2.806466854,7477.160778,133.6849171,0.017879102,479.0585578,3.062532333,1,
2365,-5.941083899,861.4740171,2.775501139,7630.655603,133.4352365,0.017486733,489.0602914,3.028363643,1,
2370,-5.744055748,856.0961342,2.745171845,7783.354947,133.1471164,0.017106648,499.011955,2.995105038,1,
2375,-5.552297684,850.8954754,2.715480426,7935.187294,132.8239502,0.016738603,508.9087384,2.962743134,1,
2380,-5.365779054,845.8669749,2.686427055,8086.084135,132.4689879,0.016382341,518.7460507,2.931263878,1,
2385,-5.184458984,841.0056289,2.65801072,8235.979925,132.0853322,0.016037598,528.5195408,2.900652619,1,
2390,-5.00828729,836.3065027,2.630229316,8384.81191,131.6759348,0.015704101,538.2251088,2.870894183,1,
2395,-4.837205298,831.7647366,2.603079733,8532.519859,131.2435916,0.015381575,547.8589377,2.841972937,1,
2400,-4.671146537,827.3755518,2.576557935,8679.04556,130.7909366,0.015069737,557.4175336,2.81387286,1,
2405,-4.510037293,823.1342552,2.550659038,8824.332026,130.3204326,0.014768306,566.8978313,2.7865776,1,
2410,-4.353796865,819.0362444,2.525377387,8968.321968,129.8343545,0.014476995,576.2973337,2.760070544,1,
2415,-4.202337488,815.0770126,2.500706626,9110.955289,129.3347602,0.014195521,585.6144225,2.73433488,1,
2420,-4.055563585,811.2521534,2.476639765,9252.164471,128.8234379,0.0139236,594.8488349,2.709353666,1,
2425,-3.913370094,807.5573678,2.45316925,9391.866679,128.3018152,0.013660949,604.0025573,2.685109905,1,
2430,-3.775639156,803.9884725,2.430287032,9529.949817,127.7707988,0.01340729,613.0814049,2.66158664,1,
2435,-3.642234078,800.541413,2.407984637,9666.247889,127.2304927,0.013162345,622.0977661,2.638767073,1,
2440,-3.512988844,797.2122838,2.386253247,9800.497746,126.6797084,0.012925844,631.0755023,2.616634741,1,
2445,-3.387690006,793.9973621,2.365083796,9932.262607,126.115108,0.012697521,640.0585241,2.595173771,1,
2450,-3.266045797,790.8931625,2.344467099,10060.79699,125.5297107,0.012477114,649.1262257,2.574369301,1,
2455,-3.147632962,787.89653,2.324394021,10184.8053,124.9102528,0.012264373,658.4207608,2.554208143,1,
2460,-3.031804836,785.0047958,2.304855753,10302.00831,124.2325085,0.012059057,668.1967145,2.534679902,1,
2465,-2.917528688,782.2160458,2.285844228,10408.34797,123.452794,0.01186094,663.3185128,2.515778867,1,
2470,-2.827812274,779.5295841,2.267352818,10589.06802,123.5724922,0.011669818,674.9685115,2.497507269,1,
2475,-2.736367971,776.9130391,2.249354361,10752.69232,123.4976901,0.011485281,685.5283787,2.479650567,1,
2480,-2.644831341,774.3734586,2.231830647,10903.64841,123.287819,0.011307024,695.2798296,2.462261507,1,
2485,-2.554273403,771.9137988,2.214768485,11045.06982,122.9846736,0.011134803,704.4222654,2.445365232,1,
2490,-2.465387114,769.5345572,2.198157364,11179.18235,122.6177824,0.010968404,713.0973346,2.428970072,1,
2495,-2.378611182,767.2347835,2.181988091,11307.57109,122.2080842,0.010807634,721.4059197,2.413074269,1,
2500,-2.294212908,765.0127021,2.166252015,11431.36705,121.7704712,0.010652311,729.4200085,2.397670142,1,
2505,-2.212343966,762.8660916,2.15094062,11551.37857,121.3155627,0.010502258,737.1910535,2.382746652,1,
2510,10.66547765,760.7925141,2.136045319,11668.18431,120.8509484,0.010357305,744.7749539,2.368290969,1,