Results of DICE2016-R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Year,,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150,2155,2160,2165,2170,2175,2180,2185,2190,2195,2200,2205,2210,2215,2220,2225,2230,2235,2240,2245,2250,2255,2260,2265,2270,2275,2280,2285,2290,2295,2300,2305,2310,2315,2320,2325,2330,2335,2340,2345,2350,2355,2360,2365,2370,2375,2380,2385,2390,2395,2400,2405,2410,2415,2420,2425,2430,2435,2440,2445,2450,2455,2460,2465,2470,2475,2480,2485,2490,2495,2500,2505,2510
"Industrial Emissions, GTCO2 per year",EIND,35.74038462,33.28849904,35.33819285,37.03789308,38.34942355,39.24257052,39.69443686,39.68874849,39.21516018,38.26859036,36.84860108,34.95882932,32.60646731,29.80178232,26.55765723,22.88912071,18.81281496,14.34631453,9.506005255,4.30927563,0,0,0,0,0,0,0,0,0,-16.09136373,-15.9340119,-15.76281476,-15.57812728,-15.38054848,-15.17083822,-14.94985862,-14.71853233,-14.47781256,-14.22866157,-13.97203507,-13.70887103,-13.44008165,-13.16654757,-12.88911387,-12.60858726,-12.3257343,-12.04128028,-11.75590866,-11.47026104,-11.18493738,-10.90049651,-10.61745694,-10.33629776,-10.05745974,-9.781346573,-9.508326105,-9.238731778,-8.972864036,-8.710991801,-8.453353972,-8.200160947,-7.951596121,-7.707817396,-7.46895876,-7.235131565,-7.006426164,-6.782913223,-6.564645104,-6.351657191,-6.143969169,-5.941586245,-5.744500324,-5.552691133,-5.366127256,-5.184767144,-5.008560011,-4.837446656,-4.671360139,-4.510226331,-4.353964163,-4.202485547,-4.055694617,-3.913486058,-3.775741783,-3.642324903,-3.513069225,-3.387761143,-3.266108753,-3.147688678,-3.031854145,-2.917572326,-2.827850894,-2.736402149,-2.644861589,-2.554300172,-2.465410805,-2.378632148,-2.294231464,-2.212360387,10.66546311
Emissions Control Rate,MIU,0.03,0.182602797,0.206330524,0.231929641,0.259455816,0.288968026,0.320527899,0.354199096,0.39004675,0.428136935,0.468536206,0.511311196,0.556528341,0.604253811,0.654553839,0.707495808,0.763150815,0.821599017,0.88295441,0.947340855,1,1,1,1,1,1,1,1,1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,0
"Exog. land-use emissions,GTCO2 per year",ETREE,2.6,2.301,2.036385,1.802200725,1.594947642,1.411528663,1.249202867,1.105544537,0.978406915,0.86589012,0.766312756,0.678186789,0.600195308,0.531172848,0.470087971,0.416027854,0.368184651,0.325843416,0.288371423,0.255208709,0.225859708,0.199885841,0.17689897,0.156555588,0.138551696,0.122618251,0.108517152,0.096037679,0.084993346,0.075219111,0.066568914,0.058913489,0.052138437,0.046142517,0.040836128,0.036139973,0.031983876,0.02830573,0.025050571,0.022169756,0.019620234,0.017363907,0.015367058,0.013599846,0.012035864,0.010651739,0.009426789,0.008342709,0.007383297,0.006534218,0.005782783,0.005117763,0.00452922,0.00400836,0.003547398,0.003139448,0.002778411,0.002458894,0.002176121,0.001925867,0.001704392,0.001508387,0.001334923,0.001181407,0.001045545,0.000925307,0.000818897,0.000724724,0.000641381,0.000567622,0.000502345,0.000444576,0.000393449,0.000348203,0.000308159,0.000272721,0.000241358,0.000213602,0.000189038,0.000167298,0.000148059,0.000131032,0.000115964,0.000102628,9.08E-05,8.04E-05,7.11E-05,6.30E-05,5.57E-05,4.93E-05,4.36E-05,3.86E-05,3.42E-05,3.02E-05,2.68E-05,0.000023691,2.10E-05,1.86E-05,1.64E-05,1.45E-05
"Total Emissions, GTCO2 per year",E,38.34038462,35.58949904,37.37457785,38.84009381,39.94437119,40.65409919,40.94363973,40.79429303,40.1935671,39.13448048,37.61491384,35.63701611,33.20666262,30.33295517,27.0277452,23.30514856,19.18099961,14.67215795,9.794376678,4.564484339,0.225859708,0.199885841,0.17689897,0.156555588,0.138551696,0.122618251,0.108517152,0.096037679,0.084993346,-16.01614462,-15.86744299,-15.70390127,-15.52598885,-15.33440597,-15.1300021,-14.91371865,-14.68654845,-14.44950683,-14.203611,-13.94986531,-13.6892508,-13.42271774,-13.15118051,-12.87551402,-12.5965514,-12.31508256,-12.03185349,-11.74756595,-11.46287774,-11.17840316,-10.89471372,-10.61233917,-10.33176854,-10.05345138,-9.777799174,-9.505186657,-9.235953367,-8.970405142,-8.708815679,-8.451428105,-8.198456555,-7.950087733,-7.706482474,-7.467777354,-7.23408602,-7.005500857,-6.782094326,-6.56392038,-6.351015811,-6.143401547,-5.941083899,-5.744055748,-5.552297684,-5.365779054,-5.184458984,-5.00828729,-4.837205298,-4.671146537,-4.510037293,-4.353796865,-4.202337488,-4.055563585,-3.913370094,-3.775639156,-3.642234078,-3.512988844,-3.387690006,-3.266045797,-3.147632962,-3.031804836,-2.917528688,-2.827812274,-2.736367971,-2.644831341,-2.554273403,-2.465387114,-2.378611182,-2.294212908,-2.212343966,10.66547765
"Atmospheric C concentration, ppm",,399.5305164,418.4656574,434.4059587,450.8498385,467.648763,484.6335404,501.6210585,518.4195071,534.8324524,550.6620366,565.7115084,579.7872377,592.7003309,604.2679288,614.3142461,622.6713832,629.1799167,633.6892373,636.0575502,636.1506365,633.8422601,629.7992741,626.7818006,624.4609182,622.6132588,621.0871694,619.7797165,618.6210614,617.5638428,616.5759627,605.3320431,595.4582167,586.5506127,578.3362866,570.6310591,563.310886,556.2924185,549.5198074,542.9557461,536.5753953,530.3622634,524.3054147,518.3975817,512.6338885,507.010991,501.5264994,496.1785924,490.9657609,485.8866405,480.9399028,476.1241877,471.4380623,466.8799982,462.4483609,458.1414074,453.9572884,449.8940547,445.9496646,442.1219934,438.4088426,434.8079498,431.3169985,427.933627,424.6554376,421.4800049,418.404884,415.4276177,412.5457433,409.7567992,407.0583307,404.4478954,401.9230677,399.4814438,397.1206455,394.8383234,392.6321609,390.4998763,388.4392262,386.4480071,384.5240584,382.6652641,380.8695556,379.1349145,377.4593768,375.841039,374.2780675,372.7687146,371.3113439,369.9044742,368.5468525,367.2375802,365.9763305,364.7479057,363.5556144,362.4008445,361.2838297,360.2041237,359.160893,358.1530947,357.1795841
"Atmospheric concentration, GtC",MAT,851,891.3318503,925.284692,960.310156,996.0918652,1032.269441,1068.452855,1104.23355,1139.193124,1172.910138,1204.965513,1234.946816,1262.451705,1287.090688,1308.489344,1326.290046,1340.153223,1349.758075,1354.802582,1355.000856,1350.084014,1341.472454,1335.045235,1330.101756,1326.166241,1322.915671,1320.130796,1317.662861,1315.410985,1313.306801,1289.357252,1268.326002,1249.352805,1231.85629,1215.444156,1199.852187,1184.902851,1170.47719,1156.495739,1142.905592,1129.671621,1116.770533,1104.186849,1091.910183,1079.933411,1068.251444,1056.860402,1045.757071,1034.938544,1024.401993,1014.14452,1004.163073,994.4543961,985.0150087,975.8411977,966.9290243,958.2743365,949.8727856,941.7198459,933.8108347,926.1409331,918.7052069,911.4986255,904.516082,897.7524105,891.202403,884.8608256,878.7224331,872.7819823,867.0342444,861.4740171,856.0961342,850.8954754,845.8669749,841.0056289,836.3065027,831.7647366,827.3755518,823.1342552,819.0362444,815.0770126,811.2521534,807.5573678,803.9884725,800.541413,797.2122838,793.9973621,790.8931625,787.89653,785.0047958,782.2160458,779.5295841,776.9130391,774.3734586,771.9137988,769.5345572,767.2347835,765.0127021,762.8660916,760.7925141
"Atmospheric Temperature, °C ",TATM,0.85,1.016341648,1.184456622,1.354027053,1.524592941,1.695573444,1.866293008,2.036007965,2.20393098,2.369251946,2.531154765,2.688829935,2.84148321,2.988340696,3.128650816,3.261683535,3.386727152,3.503082842,3.607101066,3.698461411,3.776776082,3.842247303,3.897375529,3.944069138,3.983804706,4.017740998,4.046800198,4.071726077,4.093125949,4.111501231,4.118261113,4.115929885,4.106393783,4.091079458,4.071081053,4.047250481,4.020261592,3.990655898,3.95887531,3.925285739,3.890194228,3.853861532,3.816511437,3.778337763,3.739509687,3.700175847,3.660467553,3.62050133,3.580380963,3.54019916,3.50003892,3.459974673,3.420073238,3.380394634,3.340992774,3.301916064,3.263207921,3.224907221,3.187048704,3.149663316,3.112778527,3.076418601,3.040604852,3.005355867,2.970687707,2.936614093,2.90314658,2.87029471,2.838066155,2.806466854,2.775501139,2.745171845,2.715480426,2.686427055,2.65801072,2.630229316,2.603079733,2.576557935,2.550659038,2.525377387,2.500706626,2.476639765,2.45316925,2.430287032,2.407984637,2.386253247,2.365083796,2.344467099,2.324394021,2.304855753,2.285844228,2.267352818,2.249354361,2.231830647,2.214768485,2.198157364,2.181988091,2.166252015,2.15094062,2.136045319
"Output net damage costs, tril. 2010$",,105.0049231,125.1361971,147.4356337,171.9867318,198.8318414,228.0094553,259.5552219,293.5028455,329.8848958,368.7335413,410.0812132,453.9611923,500.4080857,549.4581193,601.1490853,655.519624,712.6071988,772.4434967,835.0864273,900.5432077,968.7523058,1039.750747,1114.130531,1191.81056,1272.741344,1356.901025,1444.301035,1535.005542,1629.173914,1727.143933,1826.219448,1928.803576,2034.767701,2143.996195,2256.38186,2371.82258,2490.21885,2611.471997,2735.482929,2862.151275,2991.374843,3123.049313,3257.068106,3393.322388,3531.701173,3672.0915,3814.378662,3958.446468,4104.177531,4251.453567,4400.155705,4550.164791,4701.361696,4853.627607,5006.844323,5160.89452,5315.662021,5471.032041,5626.89142,5783.128838,5939.635021,6096.302918,6253.027864,6409.707802,6566.243264,6722.537655,6878.49727,7034.031406,7189.052434,7343.47586,7497.220366,7650.207831,7802.363344,7953.615147,8103.894592,8253.135975,8401.276267,8548.254624,8694.011593,8838.487613,8981.620529,9123.341033,9263.564864,9402.17902,9539.017401,9673.81805,9806.147525,9935.267283,10059.89504,10177.7758,10284.89518,10465.49553,10629.19463,10780.36059,10922.08515,11056.56457,11185.363,11309.59658,11430.06301,11547.33336
"Output net damage and abatement costs, tril. 2010$",,105.0040675,125.0352313,147.2877677,171.775103,198.535235,227.6016149,259.0041272,292.769964,328.9244187,367.4916136,408.4951699,451.9588128,497.9068792,546.3646538,597.3583686,650.9145389,707.0579774,765.8071865,827.2059059,891.246615,958.2640643,1029.492613,1104.112084,1182.040807,1263.2282,1347.651015,1435.319097,1526.294837,1620.735551,1714.023225,1813.551852,1916.58537,2022.994528,2132.662938,2245.482598,2361.35059,2480.166646,2601.831392,2726.245098,2853.306836,2982.913936,3114.961674,3249.343144,3385.949254,3524.668829,3665.38878,3807.994328,3952.369265,4098.396232,4245.957016,4394.932854,4545.204736,4696.653705,4849.161147,5002.609078,5156.880417,5311.859239,5467.431028,5623.4829,5779.903821,5936.58481,6093.419109,6250.302352,6407.132777,6563.811215,6720.241363,6876.329808,7031.986134,7187.122993,7341.656168,7495.504608,7648.590456,7800.839058,7952.178902,8102.541581,8251.861622,8400.076222,8547.124751,8692.947967,8837.486507,8980.67841,9122.454552,9262.730851,9401.394479,9538.279502,9673.12413,9805.495085,9934.653997,10059.31877,10177.23461,10284.38741,10465.01568,10628.74191,10779.93395,10921.68342,11056.18651,11185.00737,11309.26214,11429.74857,11547.33336
"Gross output, tril.2010$",YGROSS,105.177422,125.4303057,147.9066674,172.7054964,199.8865127,229.507261,261.623756,296.2909121,333.5627918,373.4927031,416.1331668,461.5357605,509.7508196,560.8269273,614.8100382,671.7419058,731.6571513,794.5776555,860.5016661,929.4015536,1001.16954,1075.802728,1153.917905,1235.435513,1320.307383,1408.513014,1500.065776,1595.033385,1693.582294,1796.064466,1899.342954,2005.943737,2115.754129,2228.669671,2344.59076,2463.420273,2585.061881,2709.418869,2836.393337,2965.885679,3097.794291,3232.015435,3368.443237,3506.96977,3647.485219,3789.878083,3934.035424,4079.84313,4227.186198,4375.949023,4526.015685,4677.270237,4829.596987,4982.880764,5137.007189,5291.862914,5447.335862,5603.315451,5759.692797,5916.360909,6073.21487,6230.151988,6387.071943,6543.87699,6700.471922,6856.764332,7012.664624,7168.086108,7322.945061,7477.160778,7630.655603,7783.354947,7935.187294,8086.084135,8235.979925,8384.81191,8532.519859,8679.04556,8824.332026,8968.321968,9110.955289,9252.164471,9391.866679,9529.949817,9666.247889,9800.497746,9932.262607,10060.79699,10184.8053,10302.00831,10408.34797,10589.06802,10752.69232,10903.64841,11045.06982,11179.18235,11307.57109,11431.36705,11551.37857,11668.18431
"Damage costs, tril. 2010$",DAMAGES,0.17249886,0.29410864,0.471033646,0.718764633,1.054671371,1.49780577,2.068534133,2.788066534,3.677895932,4.759161807,6.051953598,7.574568243,9.342733877,11.36880803,13.66095299,16.22228182,19.04995254,22.13415877,25.41523879,28.85834591,32.41723426,36.05198047,39.78737409,43.62495352,47.56603921,51.61198882,55.76474042,60.02784348,64.4083804,68.92053297,73.12350588,77.14016096,80.98642753,84.6734761,88.20889958,91.5976929,94.84303142,97.94687204,100.9104076,103.7344042,106.4194482,108.9661223,111.3751307,113.6473824,115.7840464,117.7865834,119.656762,121.3966618,123.0086674,124.4954561,125.8599802,127.1054462,128.2352909,129.253157,130.1628662,130.9683936,131.6738406,132.2834093,132.801377,133.2320716,133.5798488,133.8490693,134.0440786,134.1691886,134.2286576,134.2266766,134.1673539,134.0547021,133.8926269,133.6849171,133.4352365,133.1471164,132.8239502,132.4689879,132.0853322,131.6759348,131.2435916,130.7909366,130.3204326,129.8343545,129.3347602,128.8234379,128.3018152,127.7707988,127.2304927,126.6797084,126.115108,125.5297107,124.9102528,124.2325085,123.452794,123.5724922,123.4976901,123.287819,122.9846736,122.6177824,122.2080842,121.7704712,121.3155627,120.8509484
